task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
"Develop structured programs or models that organize staff roles, activities, and experiences into an integrated account for practice.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",25.0,5.0,40.0,25.0,5.0,75.0,5.0,20.0,15.0,5.0,40.0,35.0,5.0,1.99,0.19,0.0,1.0,3.72,6.88,4.33,yes,1.0,5.0,Edison,18.0,substep_mean
Translate user-study findings into service recommendations and best-practice guidelines for practitioners and stakeholders.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",20.0,5.0,20.0,45.0,10.0,80.0,0.0,20.0,5.0,10.0,45.0,30.0,10.0,1.83,0.09,0.09,1.0,5.04,7.71,5.99,yes,1.0,5.0,Edison,16.0,substep_mean
Evaluate how database coverage and indexing choices limit the generalizability of bibliometric findings.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",25.0,40.0,20.0,15.0,0.0,95.0,0.0,5.0,15.0,55.0,15.0,0.0,15.0,1.69,0.0,0.0,1.0,6.73,7.7,6.19,yes,3.0,4.0,Edison,18.0,substep_mean
Develop and validate systematic search and screening protocols to delimit a reproducible literature corpus.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",20.0,10.0,55.0,10.0,5.0,95.0,0.0,5.0,5.0,40.0,15.0,35.0,5.0,1.92,0.0,0.07,1.0,6.41,8.58,7.34,yes,2.0,4.0,Edison,18.0,substep_mean
Frame research questions using citation theory and normative or social-constructivist accounts of why scholars cite.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",35.0,5.0,50.0,10.0,0.0,95.0,0.0,5.0,80.0,5.0,10.0,5.0,0.0,2.83,0.0,0.0,1.0,3.81,8.41,4.33,yes,5.0,2.0,Bohr,20.0,substep_mean
Ground studies of research evaluation in responsible-metrics principles such as the Leiden Manifesto or DORA.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",30.0,15.0,35.0,15.0,5.0,90.0,0.0,10.0,20.0,55.0,15.0,5.0,5.0,1.91,0.0,0.11,1.0,6.0,8.91,6.65,yes,2.0,5.0,Edison,18.0,substep_mean
"Develop hypotheses about knowledge diffusion, collaboration, and the emergence of research fields from science-of-science frameworks.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",30.0,5.0,45.0,15.0,5.0,90.0,0.0,10.0,45.0,35.0,10.0,5.0,5.0,2.64,0.0,0.0,1.0,3.96,8.07,4.08,yes,5.0,2.0,Bohr,20.0,substep_mean
Formulate questions about open access and alternative publishing models and their effects on citation impact and readership.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",40.0,5.0,45.0,8.0,2.0,95.0,0.0,5.0,40.0,30.0,15.0,5.0,10.0,2.82,0.0,0.0,1.0,4.53,8.3,5.06,yes,3.0,4.0,Edison,18.0,substep_mean
Conceptualize altmetrics and usage-based indicators to capture broader scholarly and societal engagement with research.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",25.0,5.0,55.0,15.0,0.0,95.0,0.0,5.0,55.0,25.0,10.0,10.0,0.0,2.92,0.0,0.11,1.0,5.27,8.04,4.86,yes,3.0,4.0,Edison,20.0,substep_mean
Harvest publication and citation records from bibliographic databases and open scholarly metadata sources.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",30.0,0.0,60.0,5.0,5.0,95.0,0.0,5.0,0.0,70.0,0.0,20.0,10.0,1.26,0.0,0.2,1.0,8.2,8.33,8.05,yes,3.0,4.0,Edison,16.0,substep_mean
"Assemble datasets linking authors, institutions, funders, and grants through record linkage and identifier matching.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",15.0,5.0,65.0,5.0,10.0,95.0,0.0,5.0,0.0,70.0,5.0,25.0,0.0,1.61,0.0,0.0,1.0,7.75,9.1,7.82,yes,2.0,4.0,Edison,16.0,substep_mean
"Collect altmetric, download, and social-media attention data for defined sets of scholarly outputs.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,0.0,80.0,5.0,5.0,95.0,0.0,5.0,0.0,90.0,0.0,5.0,5.0,1.5,0.0,0.0,1.0,8.67,8.73,8.29,yes,2.0,4.0,Edison,16.0,substep_mean
Assess whether bibliometric indicators are comparable across disciplines with differing citation and authorship cultures.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",15.0,30.0,40.0,15.0,0.0,95.0,0.0,5.0,10.0,75.0,5.0,5.0,5.0,1.95,0.0,0.0,1.0,6.84,8.37,6.8,yes,3.0,4.0,Edison,18.0,substep_mean
"Construct co-authorship, citation, or co-word networks to model the structure and dynamics of research communities.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,0.0,75.0,15.0,0.0,95.0,0.0,5.0,5.0,80.0,5.0,10.0,0.0,1.83,0.0,0.0,1.0,6.73,8.97,7.06,yes,4.0,3.0,Bohr,16.0,substep_mean
"Weigh the ethical and equity implications of using metrics in hiring, funding, and promotion decisions.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",25.0,20.0,30.0,20.0,5.0,80.0,0.0,20.0,45.0,10.0,30.0,5.0,10.0,2.78,0.0,0.41,1.0,4.09,7.63,4.62,yes,3.0,5.0,Edison,18.0,substep_mean
"Interrogate gender, geographic, and prestige-based disparities and Matthew effects in citation and evaluation systems.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",15.0,10.0,55.0,15.0,5.0,90.0,0.0,10.0,10.0,75.0,10.0,0.0,5.0,2.14,0.0,0.0,1.0,6.0,8.73,6.64,yes,4.0,4.0,Pasteur,18.0,substep_mean
Compare alternative research-assessment methods against benchmark criteria such as accuracy and cost.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,40.0,30.0,15.0,5.0,90.0,0.0,10.0,5.0,75.0,10.0,5.0,5.0,1.97,0.0,0.12,1.0,6.25,8.5,6.78,yes,2.0,5.0,Edison,18.0,substep_mean
Disambiguate author names and unify institutional affiliations to build reliable bibliometric datasets.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,5.0,80.0,5.0,0.0,95.0,0.0,5.0,0.0,60.0,10.0,30.0,0.0,1.75,0.0,0.08,1.0,7.43,8.78,7.28,yes,2.0,4.0,Edison,16.0,substep_mean
"Compute and validate citation-based indicators, field-normalized scores, and network centrality measures.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",5.0,15.0,70.0,5.0,5.0,95.0,0.0,5.0,5.0,85.0,0.0,10.0,0.0,1.81,0.0,0.0,1.0,7.99,9.08,7.87,yes,3.0,4.0,Edison,16.0,substep_mean
"Model publication and citation dynamics using regression, network, or topic-modeling approaches.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,5.0,65.0,15.0,5.0,95.0,0.0,5.0,10.0,70.0,5.0,15.0,0.0,1.96,0.0,0.0,1.0,6.64,8.85,6.77,yes,4.0,3.0,Bohr,18.0,substep_mean
Infer author demographic attributes such as gender and ethnicity from names and metadata.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,80.0,5.0,10.0,0.0,1.81,0.0,0.2,1.0,7.05,7.6,7.75,yes,2.0,4.0,Edison,16.0,substep_mean
"Construct composition indicators such as diversity or homophily measures from author, topic, and affiliation attributes.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,5.0,70.0,10.0,5.0,95.0,0.0,5.0,5.0,85.0,0.0,10.0,0.0,1.81,0.0,0.06,1.0,7.78,9.18,7.8,yes,3.0,3.0,neither,18.0,substep_mean
"Formulate models of scientific careers, productivity, and the aging and obsolescence of knowledge over time.",subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",15.0,5.0,60.0,15.0,5.0,95.0,0.0,5.0,35.0,50.0,5.0,5.0,5.0,2.32,0.0,0.0,1.0,6.29,8.61,6.28,yes,4.0,3.0,Bohr,20.0,substep_mean
Design field-normalized indicators that account for disciplinary differences in citation rates and publication volume.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,5.0,65.0,15.0,5.0,95.0,0.0,5.0,20.0,70.0,0.0,10.0,0.0,2.35,0.0,0.05,1.0,6.22,8.96,5.79,yes,2.0,5.0,Edison,18.0,substep_mean
Translate bibliometric analyses into evaluation reports and policy briefs for administrators and funders.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",10.0,15.0,10.0,60.0,5.0,90.0,0.0,10.0,0.0,60.0,10.0,0.0,30.0,2.0,0.0,0.22,1.0,5.77,8.33,6.47,yes,1.0,5.0,Edison,18.0,substep_mean
Advise institutions on the responsible use of metrics within research assessment and evaluation frameworks.,subfield,Social Sciences,Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",15.0,30.0,10.0,25.0,20.0,60.0,0.0,40.0,10.0,30.0,20.0,10.0,30.0,2.16,0.0,0.34,1.0,4.6,6.6,4.8,yes,1.0,5.0,Edison,18.0,substep_mean
"Situate literary analysis within historical contexts of colonialism, decolonization, and neocolonialism to frame research inquiries.",subfield,Arts & Humanities,Literature,Postcolonial Literature,45.0,5.0,25.0,20.0,5.0,95.0,0.0,5.0,25.0,0.0,70.0,0.0,5.0,2.79,0.0,0.0,1.0,3.51,7.83,3.87,yes,5.0,2.0,Bohr,18.0,substep_mean
Evaluate the applicability of postcolonial concepts developed in one geographic or linguistic tradition to literatures from other colonial histories.,subfield,Arts & Humanities,Literature,Postcolonial Literature,25.0,20.0,35.0,20.0,0.0,95.0,0.0,5.0,45.0,0.0,50.0,0.0,5.0,2.64,0.0,0.0,1.0,3.12,8.46,3.91,yes,5.0,1.0,Bohr,20.0,substep_mean
"Apply postcolonial theoretical frameworks such as hybridity, mimicry, or subaltern studies when formulating interpretive research questions about literary texts.",subfield,Arts & Humanities,Literature,Postcolonial Literature,20.0,5.0,55.0,15.0,5.0,95.0,0.0,5.0,40.0,0.0,55.0,0.0,5.0,2.66,0.0,0.0,1.0,4.08,8.64,4.51,yes,5.0,1.0,Bohr,18.0,substep_mean
Design interview protocols to gather oral histories or testimonies from communities represented in postcolonial literary works.,subfield,Arts & Humanities,Literature,Postcolonial Literature,15.0,0.0,65.0,10.0,10.0,20.0,0.0,80.0,5.0,0.0,80.0,15.0,0.0,2.59,0.11,0.95,1.0,3.03,5.36,3.44,yes,4.0,3.0,Bohr,16.0,substep_mean
"Obtain ethical approval for research involving interviews with authors, descendants of colonial subjects, or marginalized communities depicted in literature.",subfield,Arts & Humanities,Literature,Postcolonial Literature,5.0,5.0,5.0,15.0,70.0,30.0,0.0,70.0,0.0,0.0,10.0,0.0,90.0,1.94,0.0,2.0,1.0,4.4,6.52,5.0,no,,,n.a.,18.0,substep_mean
Conduct interviews with living postcolonial authors or cultural practitioners to contextualize literary production and reception.,subfield,Arts & Humanities,Literature,Postcolonial Literature,10.0,0.0,55.0,25.0,10.0,15.0,0.0,85.0,5.0,0.0,90.0,0.0,5.0,2.54,0.04,0.24,1.0,3.87,7.07,3.81,yes,4.0,2.0,Bohr,16.0,substep_mean
"Access colonial archives, manuscripts, and historical documents held in libraries or national repositories to support textual analysis.",subfield,Arts & Humanities,Literature,Postcolonial Literature,70.0,5.0,15.0,0.0,10.0,90.0,8.0,2.0,0.0,0.0,90.0,0.0,10.0,2.18,0.82,0.47,0.6,4.22,4.61,4.06,yes,5.0,1.0,Bohr,16.0,substep_mean
Negotiate access to restricted archival collections or private literary estates relevant to postcolonial authors and texts.,subfield,Arts & Humanities,Literature,Postcolonial Literature,5.0,0.0,5.0,20.0,70.0,15.0,15.0,70.0,0.0,0.0,10.0,0.0,90.0,1.79,0.09,0.79,0.91,4.46,5.17,4.17,no,,,n.a.,18.0,substep_mean
"Assess whether interpretive claims about colonial discourse or resistance extend across different colonial contexts, languages, or literary traditions.",subfield,Arts & Humanities,Literature,Postcolonial Literature,25.0,20.0,40.0,15.0,0.0,95.0,0.0,5.0,20.0,0.0,75.0,0.0,5.0,2.89,0.0,0.0,1.0,2.84,7.21,3.49,yes,5.0,1.0,Bohr,20.0,substep_mean
"Compare how the same theme, content, or interpretive claim is realized across different artistic media or formats in order to assess what the medium contributes to meaning and whether claims hold across media.",field,Arts & Humanities,Literature,,15.0,10.0,45.0,25.0,5.0,90.0,5.0,5.0,15.0,0.0,80.0,0.0,5.0,2.92,0.0,0.0,1.0,3.36,8.3,4.88,yes,5.0,1.0,Bohr,18.0,substep_mean
Reassess claims about readers or prior findings by reasoning from existing textual evidence rather than new empirical data.,subfield,Arts & Humanities,Literature,Postcolonial Literature,25.0,30.0,30.0,15.0,0.0,95.0,0.0,5.0,30.0,0.0,60.0,0.0,10.0,2.41,0.0,0.0,1.0,3.46,8.8,4.87,yes,5.0,1.0,Bohr,18.0,substep_mean
"Analyze narrative structures, linguistic choices, and rhetorical strategies in postcolonial texts to identify patterns of subversion or complicity.",subfield,Arts & Humanities,Literature,Postcolonial Literature,15.0,5.0,55.0,25.0,0.0,95.0,0.0,5.0,15.0,0.0,80.0,0.0,5.0,2.61,0.0,0.0,1.0,3.4,8.71,4.63,yes,5.0,2.0,Bohr,18.0,substep_mean
Compare written literary texts against oral narrative traditions to determine how oral genres and materials were transmitted into written form.,subfield,Arts & Humanities,Literature,Postcolonial Literature,20.0,5.0,55.0,20.0,0.0,95.0,0.0,5.0,15.0,0.0,80.0,0.0,5.0,2.77,0.13,0.17,1.0,3.03,5.34,3.37,yes,5.0,1.0,Bohr,20.0,substep_mean
"Situate close reading practices within broader theoretical debates about meaning, authorship, or textuality.",subfield,Arts & Humanities,Literature,Literary Theory & Criticism,20.0,5.0,45.0,30.0,0.0,95.0,0.0,5.0,35.0,0.0,60.0,0.0,5.0,3.14,0.0,0.0,1.0,2.63,8.94,3.44,yes,5.0,1.0,Bohr,18.0,substep_mean
Evaluate the applicability of theoretical concepts developed in one literary tradition to works from other linguistic or national contexts.,subfield,Arts & Humanities,Literature,Literary Theory & Criticism,30.0,20.0,30.0,20.0,0.0,95.0,0.0,5.0,40.0,0.0,55.0,0.0,5.0,3.0,0.0,0.0,1.0,3.09,7.32,4.18,yes,5.0,1.0,Bohr,18.0,substep_mean
"Apply literary theoretical frameworks such as postcolonialism, feminism, or deconstruction to frame interpretive research questions about texts.",subfield,Arts & Humanities,Literature,Literary Theory & Criticism,15.0,5.0,60.0,15.0,5.0,95.0,0.0,5.0,40.0,0.0,55.0,0.0,5.0,2.45,0.0,0.0,1.0,3.54,8.51,4.19,yes,5.0,1.0,Bohr,16.0,substep_mean
Design interview protocols to gather reader responses or author perspectives for reception studies or biographical research.,subfield,Arts & Humanities,Literature,Literary Theory & Criticism,10.0,0.0,75.0,5.0,10.0,30.0,0.0,70.0,5.0,0.0,55.0,40.0,0.0,2.3,0.0,0.36,1.0,4.52,7.83,4.57,yes,4.0,1.0,Bohr,16.0,substep_mean
"Develop coding schemes to categorize thematic patterns, narrative structures, or rhetorical devices across literary texts.",subfield,Arts & Humanities,Literature,Literary Theory & Criticism,15.0,5.0,65.0,10.0,5.0,95.0,0.0,5.0,15.0,5.0,70.0,10.0,0.0,2.27,0.0,0.0,1.0,5.02,8.48,5.55,yes,5.0,1.0,Bohr,18.0,substep_mean
"Assess whether interpretive claims about literary texts extend across different genres, historical periods, or cultural traditions.",subfield,Arts & Humanities,Literature,Literary Theory & Criticism,20.0,15.0,45.0,20.0,0.0,95.0,0.0,5.0,20.0,0.0,75.0,0.0,5.0,2.88,0.0,0.0,1.0,3.9,8.51,4.57,yes,5.0,1.0,Bohr,20.0,substep_mean
Apply discourse analysis methods to identify ideological or linguistic patterns in literary and cultural texts.,subfield,Arts & Humanities,Literature,Literary Theory & Criticism,15.0,5.0,55.0,25.0,0.0,95.0,0.0,5.0,15.0,0.0,80.0,0.0,5.0,2.48,0.0,0.0,1.0,4.42,8.46,5.17,yes,5.0,1.0,Bohr,16.0,substep_mean
Combine concepts or methods from two or more theoretical or disciplinary traditions into an integrated framework tailored to a research question.,subfield,Arts & Humanities,Literature,Literary Theory & Criticism,25.0,5.0,55.0,15.0,0.0,95.0,0.0,5.0,80.0,0.0,15.0,5.0,0.0,3.3,0.0,0.0,1.0,2.85,8.13,4.65,yes,5.0,1.0,Bohr,18.0,substep_mean
Apply theories of textual transmission and manuscript culture when framing research questions about literary production and circulation.,subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,25.0,5.0,45.0,20.0,5.0,90.0,8.0,2.0,35.0,5.0,55.0,0.0,5.0,2.88,0.37,0.18,1.0,3.29,7.16,3.57,yes,5.0,1.0,Bohr,20.0,substep_mean
"Engage with theories of authorship, patronage, and print culture to contextualize early modern literary works.",subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,40.0,5.0,35.0,15.0,5.0,95.0,3.0,2.0,20.0,0.0,75.0,0.0,5.0,2.68,0.24,0.12,1.0,3.35,6.87,4.22,yes,5.0,1.0,Bohr,20.0,substep_mean
"Collect primary textual data from manuscripts, early printed books, and archival documents in original languages.",subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,70.0,5.0,20.0,5.0,0.0,85.0,15.0,0.0,0.0,0.0,90.0,0.0,10.0,2.17,1.53,0.71,0.71,4.94,5.89,4.85,yes,5.0,1.0,Bohr,18.0,substep_mean
Access rare book collections and special archives to examine material features of primary sources.,subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,20.0,0.0,65.0,5.0,10.0,40.0,55.0,5.0,0.0,5.0,80.0,0.0,15.0,2.22,1.81,0.79,0.54,5.66,5.09,5.57,yes,5.0,1.0,Bohr,18.0,substep_mean
"Coordinate with libraries, archives, and special collections to obtain access to rare manuscripts and early printed editions.",subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,5.0,0.0,5.0,10.0,80.0,20.0,30.0,50.0,0.0,0.0,5.0,0.0,95.0,1.52,0.0,0.62,1.0,5.8,5.57,4.55,yes,4.0,1.0,Bohr,16.0,substep_mean
Assess whether interpretive claims about literary conventions or genres apply across different national traditions or time periods within the medieval and early modern eras.,subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,30.0,15.0,35.0,15.0,5.0,95.0,5.0,0.0,15.0,0.0,80.0,0.0,5.0,2.71,0.0,0.0,1.0,3.42,7.68,3.83,yes,5.0,1.0,Bohr,20.0,substep_mean
Trace the afterlives of medieval or early modern literary and performance forms in later and contemporary culture to analyze continuities of meaning.,subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,30.0,5.0,40.0,20.0,5.0,95.0,3.0,2.0,20.0,0.0,75.0,0.0,5.0,3.15,0.0,0.0,1.0,3.58,6.9,3.83,yes,5.0,1.0,Bohr,18.0,substep_mean
"Transcribe and normalize spelling, punctuation, and abbreviations from early modern or medieval source texts.",subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,15.0,5.0,65.0,10.0,5.0,90.0,10.0,0.0,5.0,0.0,85.0,5.0,5.0,2.08,0.32,0.12,1.0,6.27,8.61,7.35,yes,4.0,2.0,Bohr,16.0,substep_mean
"Code thematic, rhetorical, or generic patterns across literary texts to support comparative analysis.",subfield,Arts & Humanities,Literature,Medieval & Early Modern Literature,15.0,0.0,65.0,15.0,5.0,95.0,5.0,0.0,10.0,5.0,80.0,5.0,0.0,2.16,0.0,0.0,1.0,4.7,8.32,6.14,yes,5.0,1.0,Bohr,16.0,substep_mean
"Situate textual analysis within relevant historical, cultural, or intellectual movements of European literary traditions.",subfield,Arts & Humanities,Literature,European Literature,30.0,5.0,40.0,20.0,5.0,95.0,0.0,5.0,20.0,0.0,75.0,0.0,5.0,2.58,0.0,0.0,1.0,3.91,8.39,4.56,yes,5.0,1.0,Bohr,16.0,substep_mean
