task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
Develop hypotheses about protein structure-function relationships using sequence and structural data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,3,80,3,Core
Generate hypotheses about evolutionary relationships among species or gene families through phylogenetic analysis.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,88,3,Core
Predict secondary structures of RNA molecules from sequence data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,3,65,2,Supplemental
Identify cis-regulatory sequence motifs in promoter or non-coding genomic regions.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,3,78,3,Core
Design computational experiments with appropriate parameter sweeps and baseline comparisons for algorithm benchmarking.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,95,3,Core
Plan cross-validation strategies and train-test splits for machine learning model evaluation.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,94,4,Core
Develop novel computational algorithms or methods for analyzing biological data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,5,96,4,Core
Build and maintain web-accessible databases or browsers to disseminate biological data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,3,75,3,Core
"Package, document, and release software tools or analysis pipelines for use by the research community.",subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,97,4,Core
Identify known and novel non-coding RNAs from small RNA sequencing data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,3,68,2,Core
Assemble de novo transcriptomes or genomes from short or long read sequencing data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,85,3,Core
Identify genetic variants by calling SNPs and indels from aligned genomic sequencing data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,88,3,Core
Perform differential gene expression analysis between experimental conditions using statistical models.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,5,100,4,Core
Conduct pathway enrichment and gene ontology analyses to interpret lists of significant genes.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,100,4,Core
Cluster biological samples or features using unsupervised learning methods to identify patterns.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,100,4,Core
"Compute sequence composition and structural statistics, such as GC content or intron density, to characterize genome architecture.",subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,3,90,3,Core
Assess completeness and quality of genome or transcriptome assemblies using conserved ortholog benchmarks or coverage metrics.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,88,3,Core
Construct genetic or physical marker maps to localize loci and anchor genome assemblies.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,2,55,2,Supplemental
Derive projections of resource availability and environmental carrying capacity from ecosystem models and sustainability indicators.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,90,3,Core
Calculate carbon footprints and greenhouse gas emissions using life cycle assessment frameworks.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,92,3,Core
Estimate future land use change impacts on ecosystem services using scenario-based modeling approaches.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,88,3,Core
"Design field sampling protocols to assess biodiversity, soil health, or water quality across heterogeneous landscapes.",subfield,Physical Sciences,Environmental Science,Sustainability Science,4,85,2,Core
Establish experimental plots with controlled treatments to evaluate sustainable agricultural or forestry practices.,subfield,Physical Sciences,Environmental Science,Sustainability Science,3,65,2,Supplemental
"Collect water, soil, and air samples to quantify pollutant concentrations and nutrient cycling rates.",subfield,Physical Sciences,Environmental Science,Sustainability Science,3,70,2,Core
"Deploy sensor networks to monitor environmental variables such as temperature, humidity, and carbon flux.",subfield,Physical Sciences,Environmental Science,Sustainability Science,3,68,2,Core
"Acquire satellite imagery and geospatial data to assess land use change, deforestation, and urban expansion.",subfield,Physical Sciences,Environmental Science,Sustainability Science,4,90,3,Core
"Conduct ecological field surveys to document species abundance, habitat conditions, and ecosystem health.",subfield,Physical Sciences,Environmental Science,Sustainability Science,3,72,2,Core
Validate remote sensing data against ground-truth measurements for land cover and vegetation assessments.,subfield,Physical Sciences,Environmental Science,Sustainability Science,3,75,3,Core
Process and standardize environmental datasets from multiple sources to ensure comparability across spatial and temporal scales.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,98,4,Core
Apply quality control procedures to remove outliers and correct for sensor drift in continuous monitoring data.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,92,4,Core
"Quantify uncertainty in sustainability indicators arising from data gaps, measurement variability, and model assumptions.",subfield,Physical Sciences,Environmental Science,Sustainability Science,4,95,3,Core
Fit statistical models to environmental time series data to detect trends in ecosystem degradation or recovery.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,95,3,Core
Parameterize coupled human-environment system models using empirical data on resource use and ecological responses.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,85,3,Core
"Run integrated assessment models to simulate interactions between climate, land use, and socioeconomic systems.",subfield,Physical Sciences,Environmental Science,Sustainability Science,4,82,3,Core
"Execute spatial simulations to project habitat fragmentation, species distribution shifts, or urban growth patterns.",subfield,Physical Sciences,Environmental Science,Sustainability Science,3,80,3,Core
Model nutrient and pollutant flows through watersheds and agricultural systems to evaluate management interventions.,subfield,Physical Sciences,Environmental Science,Sustainability Science,3,75,3,Core
Define indicators and data requirements for measuring performance against objectives,subfield,Physical Sciences,Environmental Science,Sustainability Science,5,100,4,Core
Map interactions among system components to represent feedbacks and cascading effects,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,96,3,Core
Critique the assumptions and theoretical coherence of established sustainability concepts and management paradigms.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,95,3,Core
Conduct comparative analysis of qualitative case studies across sites or regions to identify recurring drivers and patterns of social-ecological change.,subfield,Physical Sciences,Environmental Science,Sustainability Science,4,92,3,Core
"Trace the historical development of environmental concepts, discourses, and policy positions through analysis of primary source documents.",subfield,Physical Sciences,Environmental Science,Sustainability Science,3,80,2,Core
Quantify frequencies of terms or publications in bibliographic and text corpora to measure trends in research or public attention.,subfield,Physical Sciences,Environmental Science,Sustainability Science,3,85,3,Core
Quantify material and substance flows through production-consumption systems to account for resource use and losses.,subfield,Physical Sciences,Environmental Science,Sustainability Science,3,78,3,Core
